genome	precision	recall	predicted_size	correctly_predicted	real_size
1286_K	NA	0.0	0	0	3806186
1036551	NA	0.0	0	0	3113870
1049086	NA	0.0	0	0	4548631
1139_AX	NA	0.0	0	0	6500254
1285_CR	NA	0.0	0	0	4190901
1139_CC	NA	0.0	0	0	3352209
1287_CM	NA	0.0	0	0	6364644
1048876	NA	0.0	0	0	8996823
1021_L	NA	0.0	0	0	5241012
1287_BL	NA	0.0	0	0	4406635
1285_AF	NA	0.0	0	0	6733218
1030830	NA	0.0	0	0	4899927
1048882	NA	0.0	0	0	7638482
1286_BT	NA	0.0	0	0	3203542
1036725	NA	0.0	0	0	2120985
1287_AT	NA	0.0	0	0	6703149
1365_H	NA	0.0	0	0	3425264
1036590	NA	0.0	0	0	4190420
1036668	NA	0.0	0	0	3474946
1287_CK	NA	0.0	0	0	3637299
1286_AX	NA	0.0	0	0	4142539
1285_BI	NA	0.0	0	0	3870877
1220_BK	NA	0.0	0	0	3715358
1285_O	NA	0.0	0	0	5684790
1220_Y	NA	0.0	0	0	3604941
1036542	NA	0.0	0	0	5236188
1036563	NA	0.0	0	0	3708799
1220_BV	NA	0.0	0	0	7094793
1285_AO	NA	0.0	0	0	4701792
1286_AM	NA	0.0	0	0	7705122
1287_AG	NA	0.0	0	0	3865273
1021_S	NA	0.0	0	0	5464080
